urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2016051048054,Det dybe suk,40,40,x,,,dhlab_norn_poem_00130,
URN:NBN:no-nb_digibok_2016051048054,Kom tilbage,41,41,x,,,dhlab_norn_poem_00131,
URN:NBN:no-nb_digibok_2016051048054,Til forvildede sømænd,41,42,x,,,dhlab_norn_poem_00132,
URN:NBN:no-nb_digibok_2016051048054,Guds storhed,43,44,x,,,dhlab_norn_poem_00133,
URN:NBN:no-nb_digibok_2016051048054,Nogle spørgsmaal,44,44,x,,,dhlab_norn_poem_00134,
URN:NBN:no-nb_digibok_2016051048054,"Hvad har du, naar du skal dø?",44,45,x,,,dhlab_norn_poem_00135,
URN:NBN:no-nb_digibok_2016051048054,Jeg er saa glad,45,46,x,,,dhlab_norn_poem_00136,
URN:NBN:no-nb_digibok_2016051048054,Opløft dit blik,46,47,x,,,dhlab_norn_poem_00137,
URN:NBN:no-nb_digibok_2016051048054,Smertesmanden,47,48,x,,,dhlab_norn_poem_00138,
URN:NBN:no-nb_digibok_2016051048054,Den rette ven,48,49,x,,,dhlab_norn_poem_00139,
URN:NBN:no-nb_digibok_2016051048054,Længselstroen,49,49,x,,,dhlab_norn_poem_00140,
URN:NBN:no-nb_digibok_2016051048054,Jeg fandt ham,50,50,,,,dhlab_norn_poem_00141,
URN:NBN:no-nb_digibok_2016051048054,Gudsbarnet,51,51,,,,dhlab_norn_poem_00142,
URN:NBN:no-nb_digibok_2016051048054,Den gode strid,52,52,x,,,dhlab_norn_poem_00143,
URN:NBN:no-nb_digibok_2016051048054,Mit rette hjem,52,53,x,,,dhlab_norn_poem_00144,
URN:NBN:no-nb_digibok_2016051048054,Syng om Jesus,53,53,x,,,dhlab_norn_poem_00145,
URN:NBN:no-nb_digibok_2016051048054,Takker herren,54,54,x,,,dhlab_norn_poem_00146,
URN:NBN:no-nb_digibok_2016051048054,Er det sandt,54,55,x,,,dhlab_norn_poem_00147,
URN:NBN:no-nb_digibok_2016051048054,Den glade tanke,55,55,x,,,dhlab_norn_poem_00148,
URN:NBN:no-nb_digibok_2016051048054,Pilegrimsnynnen,56,57,,,,dhlab_norn_poem_00149,
URN:NBN:no-nb_digibok_2016051048054,Fristelsen,58,58,x,,,dhlab_norn_poem_00150,
URN:NBN:no-nb_digibok_2016051048054,Golgata,58,60,x,,,dhlab_norn_poem_00151,
URN:NBN:no-nb_digibok_2016051048054,Raad til en ven,60,61,x,,,dhlab_norn_poem_00152,
URN:NBN:no-nb_digibok_2016051048054,Vær oprigtig mod dig selv,61,61,x,,,dhlab_norn_poem_00153,
URN:NBN:no-nb_digibok_2016051048054,Til mødre,62,63,x,,,dhlab_norn_poem_00154,
